cycle_number,start_frame,end_frame,Foot_Off_Contra,Foot_Strike_Contra,Foot_Off,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1,146,296,11.0,47.0,62.0,-89.36700439453125,-84.44743809555516,-79.1590488318241,-73.36254744096236,-67.21773690888377,-60.99631303729433,-55.04885552146219,-49.53050636522698,-44.1412617076527,-38.614661476828836,-32.864590037952766,-26.891400655110672,-20.774444406682804,-14.61094795573842,-8.579167987361103,-2.896139014850966,2.30320660273234,6.970873428113533,11.096071069890804,14.799508817268142,18.417689988107398,22.13151290199973,25.795392354329437,29.23708054513643,32.50157737731933,35.71367795539624,38.72060105294892,41.53415645252574,44.17587372750947,46.59466078787139,48.658004413951524,50.32473627726237,51.445805983109906,52.24890899658203,52.82815054691199,53.22871572321112,53.38619474931197,53.33730061848959,53.00803548639471,52.47018189863725,51.64180535981149,50.55794721661192,49.2615966796875,47.83388045339873,46.28147761027018,44.59597154097123,42.78374527439926,40.81583913167317,38.667786338112585,36.26687760786578,33.48049267855559,30.186761856079116,26.33265957687842,22.007274454290233,17.494364304976045,13.264882405598971,9.438199881351366,5.798593391071676,2.1745079069426647,-1.5197319478699578,-5.531261162324379,-10.154664068511032,-15.20889923789284,-20.479723496870555,-25.48347750577059,-29.97815415353486,-33.98418426513672,-37.286907427238695,-40.24272918701172,-43.05000166459517,-45.836341857910156,-48.6953107660467,-51.653946963223554,-54.5243043610544,-57.07780132871686,-59.461348100142054,-61.91827219182795,-64.17965825398764,-66.11455674604937,-67.76651162812205,-69.14404273755623,-70.28657878528941,-71.29124427564216,-72.03956650242661,-72.46056643399325,-72.62734869754675,-72.62036988229463,-72.44407237659802,-72.12768809000652,-71.72098864931048,-71.15166820179331,-70.39589552445845,-69.55655254017222,-68.64042871648616,-67.48553281841855,-66.10381987600616,-64.53064727783205,-62.873638499866836,-61.11611499208394,-60.50271987915039
2,296,434,16.0,51.0,60.0,-59.253299713134766,-57.39698340676048,-55.39674134687944,-53.200353449041195,-50.769734584923945,-48.03483408147638,-44.851526433771305,-41.30664097179066,-37.45788643576882,-33.55887256969105,-29.91012827555338,-26.730541229248047,-23.901030106977984,-21.17680410905318,-18.326289494832356,-15.22525457902388,-11.695929845174149,-7.807392004764436,-3.607045785947271,0.8846824512337297,5.465341423497067,9.853559754111552,13.799361228942875,17.194407665368285,20.03449908169833,22.62889469031132,25.181287534309156,27.848048123446386,30.633515675862633,33.36405216563833,35.92287410389294,38.14078302094431,39.967002290667914,41.62404251098633,43.24255648526279,44.72700754801432,45.95539370450107,46.92264545325077,47.71378915960138,48.236915588378906,48.434088504675664,48.34878019853072,48.02176354148171,47.49079525109493,46.75398635864258,45.860523917458266,44.83566376657197,43.62234416152492,42.174654527144,40.442242246685595,38.52317740700461,36.38310727206143,33.96444285999645,31.345003763834615,28.497181458906677,25.35633532206216,21.88636155561967,18.21135520935059,14.394825964262964,10.346694483901494,6.113089604811223,1.8596184903925093,-2.118097420894771,-5.862079360268357,-9.706384138627506,-13.959204702666323,-18.63820075988769,-23.672884796605008,-28.73819807803995,-33.472121498801506,-37.67329984722716,-41.436450611461325,-44.776312741366326,-47.78034406719787,-50.41660690307617,-52.69360316883434,-54.73131630637431,-56.577495574951186,-58.35663361982866,-60.18422352183949,-62.10662471886839,-64.02987809614703,-65.77464571866123,-67.2519522002249,-68.44268105246805,-69.32352563106653,-69.99513406464548,-70.42938024347478,-70.56785329182942,-70.39456338593455,-69.89887514981356,-69.23313603256688,-68.43617710922703,-67.491379477761,-66.34417007908677,-64.89305276581734,-63.09137829867277,-60.89112125743518,-58.38405297019262,-57.6450424194336
3,434,546,8.0,38.0,45.0,-55.655399322509766,-53.33036904383187,-51.00649053400213,-48.64583934437145,-46.1152001583215,-43.33151302915631,-40.32593686652906,-37.23173704051008,-34.21897801485929,-31.405261126431554,-28.764980720751215,-26.179719077216255,-23.51106828631777,-20.649686562894573,-17.52866546553795,-14.169543237397168,-10.72680244060478,-7.406878615870622,-4.357431758533826,-1.6894087056920992,0.6241153454539752,2.7582891709876787,4.894205437766182,7.1061525922833075,9.404296528209334,11.78304552791094,14.231888482064907,16.682370185852047,19.00948405024981,21.077115318991925,22.821456677985907,24.31520269374655,25.719388133347636,27.069977442423497,28.274361793441003,29.222686555650498,29.847811092029918,30.13976950597281,30.13247017908578,29.873717452540543,29.443842338793203,28.852777808603616,28.1108560851126,27.243746882737288,26.267457326253254,25.191427404230293,24.004825688371753,22.67721941013529,21.193115754561,19.541905740294798,17.75597175444016,15.913046374465484,14.07786393406416,12.25310587642169,10.376351963390011,8.345334476894804,6.0316153873096905,3.34721985730258,0.3444386407582356,-2.787142617533885,-5.8364460974028525,-8.673273568201548,-11.164619445800787,-13.239526401866554,-14.930937892258765,-16.443492561879786,-18.045050303141263,-19.916915681627053,-22.046341424036505,-24.220915360884234,-26.16821633926544,-27.808030928024134,-29.211201060901985,-30.490133535982384,-31.72527771766739,-32.95553068681196,-34.155117227573584,-35.26422882080078,-36.31594871752189,-37.40435082021386,-38.59140330613261,-39.81261236017399,-40.94431266399344,-41.90472246420504,-42.644760016239054,-43.13837290291834,-43.42866304185655,-43.571475982666016,-43.62409676445855,-43.597416540588995,-43.462891665371984,-43.180142759072666,-42.7062302791711,-42.07083118323124,-41.32096203890715,-40.44129643295751,-39.347058151707515,-37.967945330070734,-36.348909744108575,-36.15583419799805
4,546,666,9.0,40.0,49.0,-34.62868881225586,-32.80127901019472,-30.964394771691524,-29.032394062389027,-26.90103160973751,-24.468348589810457,-21.72964911027388,-18.777292598377578,-15.767729325727982,-12.967356595126063,-10.514944221034193,-8.183056831359862,-5.683424602855332,-2.924315842715176,0.027248505390049527,3.1089637496254703,6.246962532852637,9.367228262352219,12.364317547191277,15.101222587354258,17.49749333930738,19.77698794278232,22.132534027099613,24.521256533536043,26.68246650695801,28.39143874428489,29.64230554754084,30.524411981756035,31.300024032592777,32.234042774547234,33.225196838378906,34.07652941617099,34.6856935674494,35.011505126953125,35.01450960563891,34.771641702362984,34.35016736117276,33.81978433782404,33.23169546416312,32.62123107910156,31.96669098825166,31.24258289915143,30.427480350841172,29.455317583951082,28.279223124186196,26.90852910822088,25.36561122085109,23.693276145241477,21.900234915993423,20.00303314671371,18.062811071222473,16.177481217817824,14.351027633204604,12.440811504017212,10.319096391851255,7.873398462931306,5.034522605664811,1.8391001766378157,-1.5257939967242393,-4.829040859684801,-7.874819538810052,-10.528082356308442,-12.789691664955841,-14.846690871498796,-16.85670633027048,-18.871871890443757,-20.86355400085449,-22.80662871852067,-24.728622089732777,-26.639615145596597,-28.504417650627364,-30.241268446951203,-31.80110758001155,-33.19973465890595,-34.44337024110737,-35.568260886452414,-36.617989742394656,-37.62827936808269,-38.68497501720082,-39.88523830067029,-41.249229777943,-42.71552207253197,-44.13117391412908,-45.37035866939661,-46.3880167874423,-47.1535371722597,-47.62654298724551,-47.91973946311258,-48.10618591308594,-48.197685819683656,-48.21337197043679,-48.10907583525687,-47.77602987578421,-47.167912569912986,-46.30821840690844,-45.216496901078656,-43.8898450678045,-42.32134108109907,-40.55776954419683,-40.24016952514648
5,666,783,8.0,39.0,47.0,-38.64017868041992,-36.622726093639024,-34.51434603604403,-32.31004160100763,-29.886254397305574,-27.117092305963688,-23.99394607543945,-20.656062559647992,-17.31568995389071,-14.245170593261719,-11.628531455993652,-9.299466133117676,-6.859540029005567,-4.121338150717992,-1.139567474749952,1.9865991354665955,5.167179259386932,8.293122118169618,11.289064494046299,14.123040459372787,16.87522940202193,19.7803467837247,22.96209144592285,26.06120872497559,28.539834456010304,30.254523884166375,31.455173319036312,32.49111366271973,33.59662836248225,34.82292244651101,36.04594976251776,37.125806288285695,37.9866811578924,38.574588775634766,38.85364463112571,38.90061950683594,38.70156097412109,38.270817496559836,37.69348213889382,37.049675681374296,36.35868315263228,35.59885614568537,34.74332011829723,33.75549455122514,32.593448638916016,31.214391534978688,29.655826568603512,27.90293572165749,25.96125082536176,23.9066907709295,21.81431319496848,19.726579492742363,17.669788187200364,15.614337921142571,13.472251978787504,11.14299774169922,8.504806952043001,5.566206628626016,2.423743919892741,-0.7045728510076519,-3.5740737915038996,-6.069297747178516,-8.2913244420832,-10.433252681385385,-12.681512399153284,-15.131149378689871,-17.765871047973633,-20.513210643421534,-23.22129145535558,-25.74367159063166,-28.00716729597613,-30.022040107033465,-31.813481070778593,-33.43977806784891,-34.974910736083984,-36.44161744551226,-37.81891042535956,-39.125244140625,-40.468118147416554,-41.92769900235265,-43.50102788751776,-45.13832092285157,-46.72736670754174,-48.05538073453037,-49.007947401566945,-49.71631969105113,-50.29266322742809,-50.752060630104765,-51.068607330322266,-51.26488044045189,-51.398338317871094,-51.43739076094194,-51.315082203258164,-50.943774483420626,-50.23893078890713,-49.194260337136,-47.82792941006746,-46.139467759565875,-44.19306460293855,-43.88444519042969
6,783,899,9.0,39.0,47.0,-42.11212539672852,-40.06535007977726,-38.09553589483704,-36.178351777972594,-34.286556320961076,-32.28597506128176,-29.965286601673473,-27.26334438901959,-24.373716046111753,-21.51168285716664,-18.882382036459568,-16.553008821275498,-14.38692670879942,-12.186583885038743,-9.869222188236735,-7.397770159172293,-4.77759544295494,-2.065362511259134,0.6147130781953964,3.1619889423100647,5.55530343874536,7.784038659298058,9.868071238199871,11.860974745316936,13.845933133905586,15.870493262705178,17.876477790601324,19.693147659301758,21.10344871366867,22.053554746839733,22.81361984484123,23.742808351613057,24.82973360774493,25.7847417195638,26.347080038051413,26.508969836764866,26.400612397627395,26.115590856532858,25.677873688514786,25.163888237693094,24.642209736987798,24.121566868791675,23.574380932432234,22.949583265516495,22.199130164252384,21.289263985373758,20.18880670720881,18.878014920937893,17.380361383611508,15.782866583930124,14.168789796154906,12.58382357973041,11.063203060265746,9.617136618103638,8.176517009735107,6.615365293290882,4.794572194417312,2.603207530397369,0.021545618923025867,-2.810114041723395,-5.533012202291766,-7.871203807869342,-9.699856469125464,-11.041543093594633,-12.062197771939363,-13.021897450842042,-14.112933476765946,-15.441353614884195,-17.046040640936965,-18.799466624404438,-20.45369450732915,-21.830326639040557,-22.998278357765887,-24.07857711869057,-25.154920077083094,-26.189047842314746,-27.056804464320948,-27.668123033311634,-28.048308921582773,-28.30900063177552,-28.661306207830254,-29.23589637062766,-29.96226069903133,-30.63524086306793,-31.156000715313535,-31.534134604714136,-31.781235897179805,-31.86487920356519,-31.75828086005317,-31.543951593264186,-31.284120906483043,-30.971801700014055,-30.55521568144211,-29.936293226299867,-29.030513994621504,-27.840658977778276,-26.33050294355913,-24.471101780130397,-22.276260607170347,-21.94247055053711
7,899,1015,8.0,39.0,47.0,-19.8484001159668,-17.38748752709591,-15.025754967121163,-12.73108823371656,-10.402114058985855,-7.939495197450273,-5.298114321448586,-2.5572512366554943,0.1193050892666132,2.6161502274599933,4.9207799940398225,7.155175897810195,9.517050714203805,12.170595843382555,15.066219406898577,18.042596932613485,20.99994491808342,23.913877930304018,26.716223803433504,29.32599503102929,31.712654344963305,33.9096416126598,36.01052898830838,38.103927419643206,40.23138312137488,42.342358252014776,44.33370937000621,46.039898265491836,47.35902628272471,48.40423930775035,49.43065932302764,50.53120117958146,51.575712030584164,52.367975870768234,52.791187093715486,52.879069781062576,52.7111684625799,52.348201790241276,51.79457130817452,51.12720385464755,50.420890075991856,49.669740387887664,48.83107711329605,47.89552445845171,46.834796057807075,45.639962283047765,44.30588558466748,42.7936510798907,41.108020204486266,39.324106389826,37.51068785696318,35.727964574640446,34.02005001029583,32.37513678964942,30.684252999045633,28.797300126817493,26.618975070991894,24.19689161127265,21.712904650755604,19.38462446193502,17.275595058094382,15.331972160724678,13.445248247397059,11.465097340670507,9.273955576347582,6.840336587693946,4.280405362447113,1.7316052793252348,-0.6916387767502856,-2.9013684771277606,-4.830830559586034,-6.469534912494705,-7.90297395532781,-9.166365700538714,-10.290838270476376,-11.316768241651127,-12.254751870126436,-13.115512741936584,-13.934975537386805,-14.723415316957418,-15.498515215787016,-16.272213502363723,-17.028758077910453,-17.684069469721628,-18.17882237289891,-18.52425837275958,-18.784672188036367,-19.041605169122867,-19.316855960422092,-19.564359144731,-19.74280444058505,-19.813154933428525,-19.71823476540922,-19.41589696479566,-18.888495127360024,-18.116014172332463,-17.034773219715465,-15.652207509435783,-14.082883516947435,-13.84776496887207
8,1015,1131,8.0,39.0,47.0,-12.46532917022705,-10.91586478069575,-9.4637413891879,-8.105244477589926,-6.8015755210259945,-5.461484769378046,-4.017694502165823,-2.4572684066464197,-0.8375331087019107,0.7530721354890947,2.1970103027844656,3.482136170069377,4.827607776179458,6.507180700398454,8.510256194105052,10.69730406096487,12.909418684063535,15.02673302274762,16.92287098277699,18.508560257728654,19.883489685829236,21.220967321684867,22.648928748236766,24.205770781545926,25.887614510276098,27.700729659109403,29.57860886930215,31.242339741099965,32.36503142539901,32.91122883498067,33.17665204134855,33.548873862834895,34.12951301805901,34.75731023152669,35.18011116259026,35.26139777597755,35.003094759854406,34.55613373265122,33.99992112439088,33.374274860728875,32.70309929895883,32.00782228720308,31.31585797396573,30.597657637162644,29.799971474541557,28.83974335410378,27.659089213669905,26.243160960650204,24.626906712849937,22.939149278582953,21.300478829277882,19.789366866603043,18.412404416787506,17.1437575215041,15.876831488175824,14.440155347188316,12.716527688382847,10.73902939305162,8.632446289062502,6.599831552216495,4.842875278357311,3.394246732345736,2.1482597746030208,0.9289036609909805,-0.4545177341711637,-2.1450048600784526,-4.061175505320223,-6.069870794662322,-8.051718615522297,-9.905443856210415,-11.552562559493866,-12.96194576494622,-14.193942590193311,-15.313992461772882,-16.37532485615124,-17.3598487738407,-18.2009795603126,-18.87238142225478,-19.464181322039977,-20.11775132381555,-20.93751435328011,-21.88819139653986,-22.850617322054777,-23.70415167375044,-24.38786945921002,-24.896986200351908,-25.283510516388247,-25.588070204763703,-25.787582609388565,-25.845760595918907,-25.726347316395152,-25.397114166105634,-24.85360629149158,-24.131218303333625,-23.245543239092584,-22.162257936265743,-20.82565012845126,-19.25501149110119,-17.537629464660036,-17.281709671020508
9,1131,1246,8.0,39.0,47.0,-15.7523832321167,-13.99660856073553,-12.331612278716733,-10.770499056035822,-9.253308354002057,-7.660515274664369,-5.900275172609273,-3.9961258353609024,-2.0545995897716955,-0.15590610829266838,1.6174785741651898,3.2696904076470252,4.988085631168247,7.043954059331103,9.441229001440183,12.00621419964414,14.627465508200903,17.22926951899673,19.693278572776094,21.8574986891313,23.686087001453746,25.331274610577207,26.944390826755097,28.628111771862915,30.39550272623697,32.21173072583747,34.01801839500966,35.686827572909266,37.02360492282444,37.94960703994288,38.646857752944484,39.426928317908086,40.446818149451055,41.491322835286454,42.277532095860956,42.62678997926038,42.54784046519887,42.18217537619851,41.65163668237552,41.00874189897017,40.27097401474462,39.45591227213542,38.577905943899445,37.630426965578636,36.56726031833225,35.35035705566407,33.95786593658756,32.37028268370966,30.624111753521554,28.807995247118406,27.023516279278386,25.36093104969371,23.81335460778439,22.337254919186993,20.84008546309038,19.152166790432407,17.112268284113718,14.737528627569041,12.261489482841114,9.917551136980151,7.837790980483562,5.984135463984332,4.190444638030697,2.24378267201512,0.04471376568380936,-2.392913056142403,-4.968282938003519,-7.551571316189225,-10.028870823407413,-12.278955315098601,-14.245580230096365,-15.915176025544753,-17.32260513305663,-18.527351360128378,-19.593526493419297,-20.532045884565864,-21.33122291950264,-21.98030153910319,-22.48654481136437,-22.875404762499258,-23.201738858463784,-23.558558897538614,-23.98887996480922,-24.398918729839902,-24.659356608535305,-24.734299804225113,-24.663109076143517,-24.45391706986861,-24.10836940341526,-23.672775037360914,-23.200313568115238,-22.694511394308076,-22.081691029095893,-21.310482314138714,-20.37455552997012,-19.278863405940516,-18.016330892389487,-16.600636318476525,-15.055472951946843,-14.836298942565918
10,1246,1362,8.0,39.0,47.0,-13.372672080993652,-11.492250240210332,-9.53417131635878,-7.627175504511053,-5.767511608624699,-3.8040842504212358,-1.5900993058175752,0.843762503729927,3.274509974200316,5.552170493386008,7.667019786256731,9.759666336907284,12.02470975933653,14.472047189269402,16.895033923062414,19.166306582364168,21.294527188696044,23.339249774663138,25.29098996249112,27.056855211354264,28.630588801220206,30.116144122499406,31.604686525132923,33.139786903304284,34.725423870664656,36.370625736737495,38.079370749117146,39.68997296420011,40.934961607961945,41.67707874799016,41.97371951016512,42.142861953889486,42.41584785538491,42.81881459554037,43.192682940550526,43.35467363608004,43.20638587258079,42.84845325200245,42.37685432819405,41.83777410333807,41.21105417579111,40.46032414291844,39.57561099890507,38.56886330036202,37.428812662760414,36.1453330300071,34.70441667961352,33.04679560420489,31.14272707158869,29.084683081116346,26.960440626048076,24.84765625,22.787179503778017,20.782102854564933,18.787666667591445,16.714388529459637,14.489805028896132,12.129856514208257,9.714411041953348,7.386822994309235,5.317918300628671,3.6061245239142226,2.174295928743146,0.7794415517286883,-0.8153060397716481,-2.7648425896962574,-4.980305989583324,-7.292531514408613,-9.513828287220974,-11.503718029369,-13.192717128329809,-14.57834633913908,-15.7653937773271,-16.82497012976444,-17.798727941031412,-18.70590764825994,-19.604066540496518,-20.617508146497947,-21.82403841885653,-23.18038331619417,-24.548494820642944,-25.791259418834336,-26.797378000586924,-27.5224340997561,-28.030395912401602,-28.39023674858941,-28.60199113325639,-28.643463481556285,-28.500723732842342,-28.17047244370586,-27.640596389770508,-26.925498711942417,-26.092597614635125,-25.170835437196676,-24.069618880146677,-22.7445569664541,-21.2030222343676,-19.428062496763282,-17.400502195261954,-17.093881607055664
