,id,perturbation,dir,Subject,Frame
0,0,Acc,1,FP_03,36360.0
1,1,Acc,1,FP_04,22526.0
2,2,Acc,1,FP_05,42282.0
3,3,Acc,1,FP_06,
4,4,Acc,1,FP_08,
5,5,Acc,1,FP_12,36359.0
6,6,Acc,1,FP_15,36357.0
7,7,Acc,1,FP_16,36376.0
8,8,Acc,1,FP_23,36290.0
9,9,Acc,1,FP_24,36399.0
10,10,Acc,1,FP_25,35847.0
11,11,Acc,1,FP_31,35842.0
12,12,Acc,1,FP_32,35846.0
13,13,Acc,1,FP_33,36343.0
14,14,Acc,1,FP_35,36342.0
15,15,Acc,1,FP_36,36348.0
16,16,Acc,1,FP_37,36348.0
17,17,Acc,1,FP_45,36502.0
18,18,Acc,1,FP_46,36462.0
19,19,Acc,1,FP_48,36461.0
20,20,Acc,1,FP_50 ,36363.0
21,21,Acc,2,FP_03,22456.0
22,22,Acc,2,FP_04,36603.0
23,23,Acc,2,FP_05,46297.0
24,24,Acc,2,FP_06,
25,25,Acc,2,FP_08,
26,26,Acc,2,FP_12,22417.0
27,27,Acc,2,FP_15,22452.0
28,28,Acc,2,FP_16,22480.0
29,29,Acc,2,FP_23,22377.0
30,30,Acc,2,FP_24,22388.0
31,31,Acc,2,FP_25,21809.0
32,32,Acc,2,FP_31,21811.0
33,33,Acc,2,FP_32,21810.0
34,34,Acc,2,FP_33,22448.0
35,35,Acc,2,FP_35,22449.0
36,36,Acc,2,FP_36,22447.0
37,37,Acc,2,FP_37,22520.0
38,38,Acc,2,FP_45,22515.0
39,39,Acc,2,FP_46,22427.0
40,40,Acc,2,FP_48,22429.0
41,41,Acc,2,FP_50 ,22364.0
42,42,Dec,1,FP_03,24424.0
43,43,Dec,1,FP_04,24552.0
44,44,Dec,1,FP_05,20375.0
45,45,Dec,1,FP_06,
46,46,Dec,1,FP_08,
47,47,Dec,1,FP_12,24399.0
48,48,Dec,1,FP_15,24400.0
49,49,Dec,1,FP_16,24487.0
50,50,Dec,1,FP_23,24348.0
51,51,Dec,1,FP_24,24392.0
52,52,Dec,1,FP_25,23848.0
53,53,Dec,1,FP_31,23849.0
54,54,Dec,1,FP_32,23850.0
55,55,Dec,1,FP_33,24367.0
56,56,Dec,1,FP_35,24366.0
57,57,Dec,1,FP_36,24366.0
58,58,Dec,1,FP_37,24350.0
59,59,Dec,1,FP_45,24548.0
60,60,Dec,1,FP_46,24414.0
61,61,Dec,1,FP_48,24414.0
62,62,Dec,1,FP_50 ,24356.0
63,63,Dec,2,FP_03,40401.0
64,64,Dec,2,FP_04,40474.0
65,65,Dec,2,FP_05,18371.0
66,66,Dec,2,FP_06,
67,67,Dec,2,FP_08,
68,68,Dec,2,FP_12,40445.0
69,69,Dec,2,FP_15,40402.0
70,70,Dec,2,FP_16,40413.0
71,71,Dec,2,FP_23,40326.0
72,72,Dec,2,FP_24,40396.0
73,73,Dec,2,FP_25,39842.0
74,74,Dec,2,FP_31,39842.0
75,75,Dec,2,FP_32,39842.0
76,76,Dec,2,FP_33,40315.0
77,77,Dec,2,FP_35,40315.0
78,78,Dec,2,FP_36,40315.0
79,79,Dec,2,FP_37,40381.0
80,80,Dec,2,FP_45,40631.0
81,81,Dec,2,FP_46,40441.0
82,82,Dec,2,FP_48,40441.0
83,83,Dec,2,FP_50 ,40335.0
84,84,Lateral,1,FP_03,42381.0
85,85,Lateral,1,FP_04,42527.0
86,86,Lateral,1,FP_05,16282.0
87,87,Lateral,1,FP_06,
88,88,Lateral,1,FP_08,
89,89,Lateral,1,FP_12,42430.0
90,90,Lateral,1,FP_15,42403.0
91,91,Lateral,1,FP_16,42449.0
92,92,Lateral,1,FP_23,42286.0
93,93,Lateral,1,FP_24,42400.0
94,94,Lateral,1,FP_25,41890.0
95,95,Lateral,1,FP_31,41892.0
96,96,Lateral,1,FP_32,41891.0
97,97,Lateral,1,FP_33,42328.0
98,98,Lateral,1,FP_35,42323.0
99,99,Lateral,1,FP_36,42322.0
100,100,Lateral,1,FP_37,42458.0
101,101,Lateral,1,FP_45,42500.0
102,102,Lateral,1,FP_46,42482.0
103,103,Lateral,1,FP_48,42482.0
104,104,Lateral,1,FP_50 ,42316.0
105,105,Lateral,2,FP_03,20426.0
106,106,Lateral,2,FP_04,20598.0
107,107,Lateral,2,FP_05,30422.0
108,108,Lateral,2,FP_06,
109,109,Lateral,2,FP_08,
110,110,Lateral,2,FP_12,20370.0
111,111,Lateral,2,FP_15,20424.0
112,112,Lateral,2,FP_16,20399.0
113,113,Lateral,2,FP_23,20282.0
114,114,Lateral,2,FP_24,20473.0
115,115,Lateral,2,FP_25,19829.0
116,116,Lateral,2,FP_31,19835.0
117,117,Lateral,2,FP_32,19834.0
118,118,Lateral,2,FP_33,20331.0
119,119,Lateral,2,FP_35,20331.0
120,120,Lateral,2,FP_36,20325.0
121,121,Lateral,2,FP_37,20440.0
122,122,Lateral,2,FP_45,20535.0
123,123,Lateral,2,FP_46,20408.0
124,124,Lateral,2,FP_48,20408.0
125,125,Lateral,2,FP_50 ,20368.0
126,126,Medial,1,FP_03,2413.0
127,127,Medial,1,FP_04,2548.0
128,128,Medial,1,FP_05,2411.0
129,129,Medial,1,FP_06,
130,130,Medial,1,FP_08,
131,131,Medial,1,FP_12,2362.0
132,132,Medial,1,FP_15,2396.0
133,133,Medial,1,FP_16,2412.0
134,134,Medial,1,FP_23,2295.0
135,135,Medial,1,FP_24,2417.0
136,136,Medial,1,FP_25,1801.0
137,137,Medial,1,FP_31,1804.0
138,138,Medial,1,FP_32,1802.0
139,139,Medial,1,FP_33,2288.0
140,140,Medial,1,FP_35,2296.0
141,141,Medial,1,FP_36,2288.0
142,142,Medial,1,FP_37,2630.0
143,143,Medial,1,FP_45,2465.0
144,144,Medial,1,FP_46,2415.0
145,145,Medial,1,FP_48,2412.0
146,146,Medial,1,FP_50 ,2335.0
147,147,Medial,2,FP_03,16434.0
148,148,Medial,2,FP_04,16516.0
149,149,Medial,2,FP_05,16326.0
150,150,Medial,2,FP_06,
151,151,Medial,2,FP_08,
152,152,Medial,2,FP_12,16386.0
153,153,Medial,2,FP_15,16433.0
154,154,Medial,2,FP_16,16399.0
155,155,Medial,2,FP_23,16344.0
156,156,Medial,2,FP_24,16407.0
157,157,Medial,2,FP_25,15786.0
158,158,Medial,2,FP_31,15785.0
159,159,Medial,2,FP_32,15785.0
160,160,Medial,2,FP_33,16290.0
161,161,Medial,2,FP_35,16288.0
162,162,Medial,2,FP_36,16290.0
163,163,Medial,2,FP_37,16496.0
164,164,Medial,2,FP_45,16454.0
165,165,Medial,2,FP_46,16405.0
166,166,Medial,2,FP_48,16396.0
167,167,Medial,2,FP_50 ,16357.0
